Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
西島三郎,2019-02-26 02:28:34,5,1," Forty years ago, the principal image of Maitreya Bodhisattva, which became the first National Treasure, was always included in elementary school social studies textbooks. Unlike ordinary Buddha statues, it has a firm and toned body, giving the illusion that it is about to start moving and talk to you. Kobo Daishi Kukai seems to be one of the fascinated! Wooden statues of Prince Shotoku aged 2 and 16 are also enshrined, and there is a deep connection with related temples throughout the country, such as Tachibana-dera Temple in Asuka Village, Nara, where he was born. Please also see the wooden statues of Mr. and Mrs. Masaru Hatakawa, who were the most influential people in talking about Heiankyo! Matsuo-taisha, Kamigamo-jinja, Shimogamo-jinja, Kijima-jinja with the crest of Futaba Aoi, and Fushimi Inari-taisha, the head shrine of Inari, were probably founded by Mr. Hata who was a visitor! There are many traces of the Japan-U.S. same-ancestor theory. In the back of the narrow alley on the unpaved road next to the entrance to the wide free parking lot, there is a well called ""Israel's Well 🇮🇱"" by the locals, so why not stop by and see?

",yes,Japanese,view review
Jituei Kobashi,2019-04-10 07:58:01,2,18," It was a visit that made me understand why this temple is rarely featured in various tourist information and media.
Nandaimon, which faces the road where Randen runs, feels very close to people, and I thought it was very good. When I passed through the south gate and saw the spacious precincts of the temple, I felt as if I had come to an old temple in Nara.
Unfortunately, the connections between the cathedrals were bad, so I couldn't go inside, and the explanation wasn't enough, so I gradually lost the desire to go to the next cathedral.
I paid the admission fee for the first time when I entered the Reihoden, where Maitreya Bodhisattva is enshrined. I was rudely told to take off my woolen hat, which is a must-have for a person with no hair on my head.
It's also a place of prayer, but if you charge an admission fee, you need to consider (heating) the visitors!
From the people in charge in the hall, I felt the movements and gazes as if they were watching the visitors! I'm sorry, but I felt bad.
I felt that I should study more about how to deal with visitors, including the ticket office.
I understand why it is rarely featured in the media even though it is one of the oldest temples in Japan.

",yes,Japanese,view review
Po-Wei Tseng,2019-04-10 12:08:57,5,2," ""Taiqin Guanglong Temple""
(2019.03.29)

The individual has many purposes in this trip,
One of them is to come to Taiqin and National Treasure No. 1
""Maitreya Bodhisattva half-heeled thinking image"" to meet.

It's as if the Bodhisattva was saying, ""It's time"",
A beautiful picture is posted in front of the Guanglong Temple
The Maitreya Bodhisattva photo greeted us with a smiling face.

When I was happy, I didn't expect to turn up the stairs but I saw
Two wide-eyed vajra warriors stared at me,
As if saying: ""Boy, I've been waiting for you for a long time!""
Let me restrain my excitement a little and enter the temple :P

The cherry blossoms in the temple were in bloom on this day, but there were not many tourists.
We bought tickets for worship and entered the Lingbao Hall.
Since I can't take pictures here, I can only say:

After entering the treasure hall, the first thing you will see on the left is the magnificent
""Twelve Generals"", Sunlight, Moonlight Bodhisattva
And the unopened secret Buddha Yakushi Tathagata.
This part alone has left me dumbfounded.
As I admired it, I thought to myself:
""No wonder Japan is so strong in modeling technology"" XD

After reading the Twelve Gods, I turned my attention to National Treasure No. 1.
I meditated here for a while, like thinking,
Then the Bodhisattva told me an important thing here:

""Hey, nothing is impossible,
Our troubles are as small as the sand of the Ganges,
Leave it to Him to think and lay down the burden here. ""

*Then I left Guanglong Temple with a smile. ^^

",yes,Chinese,view review
佐都美,2019-04-11 12:26:21,5,0," At Koryu-ji Temple, Miroku Bodhisattva is wonderful, and I felt like I wanted to be in front of it all the time.
Also, various Buddha statues were a masterpiece.
And the garden is very charming.
I was healed.

",yes,Japanese,view review
Randy Uehara Mistrot,2019-05-19 02:44:51,5,0,Stunning,no,,view review
奥村慎也（OK computer）,2019-05-21 14:23:32,4,1," Koryu-ji Temple is located in Uzumasa, which is famous for Toei Kyoto Studio Park, but it is unknown whether it was originally located in this area. It is widely believed that the temple was moved to its present location before or after the relocation of the capital. At the time of its foundation, the principal image of worship was Miroku Bosatsu, but around the time the capital was moved to Heian, it became a temple with Yakushi Nyorai as its principal image, and became a temple centered on the belief in Yakushi and Prince Shotoku. The principal image of Jogu Oin, which is the main hall of Koryu-ji Temple today, is a statue of Prince Shotoku. ""Jogu Shotoku Hoo Teisetsu"" lists Hachioka-ji Temple (Koryu-ji Temple) as one of the 'Seven Great Temples Built by the Prince'.
There are descriptions about the founding of Koryu-ji Temple in ""Nihonshoki"" (Chronicles of Japan), etc., and it is certain that it was the temple of the Hata clan, but since the old records were lost due to the fire in 818, the early history of the temple is lost. is not always clear.
The Hata clan is said to be a naturalized Han Chinese who came from Qin (China) and came to Japan via the Korean Peninsula. Based in Kadono-gun (currently around the southern part of Ukyo Ward and Nishikyo Ward, Kyoto City), the family possessed techniques such as sericulture, weaving, sake brewing, and flood control. Kijimaza Amaterasu Mitama-jinja Shrine (silkworm shrine) near Koryu-ji Temple, Umenomiya Taisha Shrine in Umetsu, Ukyo Ward, and Matsuo Taisha Shrine in Arashiyama, Nishikyo Ward (both gods of sake brewing) are said to be shrines related to the Hata clan. Although there is Osake-jinja Shrine near Koryu-ji Temple, it was relocated from the precincts of Koryu-ji Temple to its current location due to the policy of separating Shintoism and Buddhism.

",yes,Japanese,view review
Ruslan Idrisov,2019-05-24 13:10:43,5,0,"Very nice, quiet and spiritual place. We come here often to just sit down and enjoy the sound of nature.",no,,view review
Robin Foster,2019-06-02 08:51:19,5,0,Beautiful place,no,,view review
Freckle Milo,2019-06-10 01:47:56,5,0,Great scenery. Get the open air carriage if possible -- allows for better photos,no,,view review
부산아빠 Busan Daddy 釜山爸爸,2019-06-21 21:13:00,4,1," Wooden Bangasayusang, Japan National Treasure No. 1. Of course, like Korea's national treasure, Japan's national treasure number is not determined by evaluating the value of the relic, but the meaning of No. 1 is unique. If it was also strongly influenced by Baekje, or it may (almost certainly) be produced in Baekje, then Japan's National Treasure No. 1 has a strong color from the Korean Peninsula. Self-esteem rises.
Unfortunately, the wooden Bangasayu statue was exhibited in a small museum like other cultural festivals, but the lighting in the exhibition room was too dark. This seems to be a characteristic of Japan, but almost all temples and places where Buddha is enshrined are all dark. Except for places like museums.
It's so dark that I can't really appreciate it. You can't even feel the grain of the wood or the traces of the years. It was disappointing as I had high expectations.

",yes,Korean,view review
Vero Dena,2019-06-22 08:10:25,1,3,Too far. Too simple. Too expensive for what it was.  Not recomended.,no,,view review
jorge morales,2019-08-05 02:36:19,4,0,Nice,no,,view review
味付こんぶ（赤）,2019-09-16 03:19:46,4,1," The area right from the gate is free, but the Shinreihokan in the back costs 800 yen. You can see Jizo in the free area, but I was surprised by the unexpected appearance. The Shinreihokan is one room with the Twelve Divine Generals and the Four Heavenly Kings. The lighting is dim, but you can see it from quite close. There are also statues that are dancing in peace, and faces that look like slacking office workers. It's rude to take pictures of the front of each temple and the Buddha, but you can take pictures of the side of the temple.

",yes,Japanese,view review
Hemantha Shetty,2019-10-06 14:19:21,5,0,"Wonderful no words to describe
, please visit",no,,view review
とっととハメ太郎,2019-11-08 05:55:10,4,3," It is said to be the first national treasure of Japan,
Maitreya Bodhisattva Pensive Statue
(Miroku Bosatsu is arrogant)

Kyoto Uzumasa
It is located at Koryu-ji Temple.

At a temple related to Prince Shotoku,
It is also said to be the temple of the Hata clan.

again,
It is closely related to successive emperors,
The statue of Prince Shotoku in the Taishiden is

At the imperial ceremony,
The robe that His Majesty called
It is said that it has been handed down from generation to generation.

",yes,Japanese,view review
Palmiro P. Zavorka,2019-11-14 08:06:16,5,3,"This is a must-to-see place, the temple is beautiful, and the statues are Japanese treasures. It contains the wooden statue of the Buudha of the future, Maitreia, or ""Miroku-Bosatsu-Hanka-Shii-zo"", sitted in the half lotus position,  with beatiful fingers: a child impressed by the statue with compassion embraced it so strongly she broke a finger that needed to be repaired.  The scenery is great!
",yes,,view review
Setting Sun,2019-12-07 10:49:48,2,1,A bit overrated and expensive (800 yen). I liked the tranquil atmosphere in the garden till I was told twice by an old man  at the temple entrance not to take photographs despite not having a phone or camera in my hand. I wonder how Buddha would be treated if he himself showed up. So much for that!,no,,view review
Ollie Farrell,2019-12-23 06:19:14,2,1,Nice but 800¥ for admission is to much,no,,view review
Yasuyuki Kashimoto,2020-01-19 06:56:49,4,0," It is one of the Seven Great Temples of Japan built by Prince Shotoku. A statue of Miroku Bodhisattva, a national treasure, is enshrined. All the Buddha statues from the Asuka period to the Kamakura period, such as the Amida Nyorai statue other than Miroku Bosatsu, are wonderful and worth seeing.

",yes,Japanese,view review
電車旅するやつ,2020-01-30 19:52:39,3,2," Class B ancient temple in Kyoto.
When I went to see Maitreya Bodhisattva, I was glad that there were many other Buddha statues.
I myself was satisfied, but considering whether I can recommend it, 800 yen is expensive.
I can't recommend it unless it's very bad.

Naturally recommended for those who like Buddhist statues and old temples! ︎

",yes,Japanese,view review
deep space 2045,2020-04-25 06:52:29,4,1," There are many shrines and temples in Kyoto, but the precincts of this one in particular are well-maintained and the scenery is quite spectacular. Currently, due to the influence of Corona, the time and place where you can see it are limited.

",yes,Japanese,view review
七面鳥放浪記,2020-04-29 06:42:48,5,7," Todai-ji, Kofuku-ji, Horyu-ji, and a few other temples in Kyoto are the only temples in Kyoto that are comparable in terms of the quality of their Buddhist statues. Therefore, the evaluation is a comfortable five stars, but even though it is such a famous temple, it is plain. The worshipers are sparse and the parking lot is empty. The surrounding area is more of a residential area than a tourist spot, and there are far more people passing through the gate than passing through it, which makes me worry unnecessarily whether the management of the temple is okay. However, even if it is a residential area, access is convenient. Uzumasa Koryu-ji Station on the Arashiyama Electric Railway is just a stone's throw away from Romon Gate, and JR Uzumasa Station is within easy walking distance. Bus timetables are unreliable during the tourist season, so being close to the station is convenient. If you've been sightseeing around Arashiyama and still have time to catch the Shinkansen on your way home, don't hesitate to visit.
The Maitreya Bodhisattva statue, which is considered to be the first National Treasure, is a feast for the eyes just by looking at it, but we recommend that you fully enjoy it as much as time permits. There is also a bench in front of the statue, so it's okay if you're tired.

It is an ancient temple that I would strongly recommend as the end of your sightseeing in Kyoto.

",yes,Japanese,view review
Marcin Tatarczuk,2020-06-20 17:01:59,5,0,Beautiful Buddhist sculptures.,no,,view review
板倉弘光,2020-07-29 00:53:44,5,3," It is a temple with a very famous Maitreya Bodhisattva.
Maitreya Bodhisattva itself is quite rare, and you can hardly meet it at Chichibu Sacred Site, Bando Fudasho, or Saigoku Sanjusansho. Nevertheless, you can meet the Bodhisattva who is artistically beautiful here.
I'm sure you've seen it somewhere, that Bodhisattva with a cane on his cheek.
In addition, Amida Nyorai and Senju Kanzeon Bodhisattva are displayed in Reihoden. Every Buddha statue is very impressive.
It is rare to find a temple where you can see so many national treasure Buddha statues at once.
For those who are interested in Buddhist statues, this temple is a must-see.

",yes,Japanese,view review
358 PMP,2020-08-30 14:15:51,4,3," The oldest temple in Kyoto, which is said to have existed before the transfer of the capital to Heian-kyo. This temple is associated with Prince Shotoku and houses a national treasure Maitreya Bodhisattva half-legged statue. It is a temple of memories that I proposed to a sightseeing course on a school excursion because I was drawn to the photos in the reference book.

",yes,Japanese,view review
にゃんこにゃんこ,2020-09-29 14:12:03,4,4," It was quite dim, and the half-legged pensive statue I was looking for was so dark that I couldn't see its expression.
I would like it to be a little easier to see, like the Ashura statue at Kofuku-ji Temple and the Pensive Statue in Chugu-ji Temple.

",yes,Japanese,view review
円座厚司,2020-10-05 12:25:13,5,8," I visited in July 2017. I think it's been over ten years. Was it 1974 when I visited for the first time? At that time, the inside of the auditorium was open to the public, and the standing statues of Senju Kannon and Fukakukensaku Kannon, both national treasures, were also enshrined. This time, the door of the auditorium was half open and I could not see the seated statue of Amida Nyorai, which is a national treasure.
The lighting in the Reihoden hall was also dark, and it was difficult to see the face of the Maitreya Bodhisattva statue. Well, I guess I can't make the lighting too bright because of the preservation. There was an explanation broadcast before, but what about now? However, isn't it a place where you can stay forever if you take your time to admire it?

",yes,Japanese,view review
АСЭИ ХОСИНО,2020-10-12 12:14:48,3,0,"This temple is located nearby Toei Eigamura.






",yes,,view review
ひ,2020-12-22 12:20:56,5,3," The first National Treasure, Maitreya Bodhisattva, and the Eleven-Faced, Thousand-Armed Kannon Statue... I was moved by the overwhelming presence.

",yes,Japanese,view review
Tim,2021-01-11 10:48:39,4,1,"Amazing wooden hand crafted statutes inside the main building. You have to pay to see them but it’s worth it. Sadly no photos allowed (understandable). There’s very little else here though.


",yes,,view review
大山富子,2021-02-09 09:24:59,4,1," I took the Arashiyama train for the first time and visited Koryu-ji Temple.
I came to see the beautiful Maitreya Bodhisattva statue.
It is not the Miroku-sama I saw in Nara.
Beautiful 🎵 I was patient.

",yes,Japanese,view review
ホシガメ大明神,2021-02-12 06:31:14,4,6," The statue of Maitreya Bodhisattva and others in the treasure hall are wonderful,
Other than that, there isn't much to see. There is an explanation board, but it is weathered and unreadable. The admission fee of 800 yen is expensive. It's getting harder and harder to visit.

",yes,Japanese,view review
竹田勝幸,2021-03-10 11:16:42,5,3," A temple in Uzumasa built by the Hata clan, long before Heiankyo was built.

It is also the temple of Prince Shotoku, who is said to have had a deep connection with the Hata clan.

Maitreya Bodhisattva, the first National Treasure, is enshrined here.

",yes,Japanese,view review
マロマロ,2021-03-12 01:28:24,3,11," In addition to the Miroku Bodhisattva statue, which is the first National Treasure, the temple has many Buddha statues.

In front of Randen Uzumasa Station, the location is also good as it is within walking distance from JR Uzumasa Station.
Even during the tourist season, there are fewer tourists than other temples.
It is free to enter the precincts, but I honestly thought that the 800 yen admission fee for the Reihoden was a little expensive for the Maitreya Bodhisattva half-legged statue.
Parking is free if you visit Reihoden!
Paid if you do not visit (500 yen)
Also, as an impression after visiting, you can see a wonderful group of Buddha statues right in front of you, but it's dim, hard to see, too dark.
Some kind of stress that will be healed,,,
Of course, photography is prohibited.
○ Evaluation for general tourists ☓△ Buddha statue enthusiasts.

",yes,Japanese,view review
tannkyu neko,2021-04-03 04:18:33,4,6," A temple that exhibits the first national treasure. It is a temple with history and formality.
The grounds are spacious and the building is solid. Taishido is a unique structure that doubles as a framed hall.
The entrance fee for Reihoden is 800 yen, which is quite expensive. But it's fulfilling. I personally like looking at Buddhist statues, but even for those who don't, just saying ""I've seen the first National Treasure"" gives me a sense of fulfillment.

The pamphlet I received is difficult to understand. It is difficult to use when looking back later or when explaining to people.

The location is a short walk from Randen ""Uzumasa Koryu-ji Station"".

",yes,Japanese,view review
TT A,2021-06-02 03:46:48,1,30," A temple for Buddhist statue lovers, history buffs, or those who are extremely religious.
It is closed and exclusive to general tourists, and it is too strict for sightseeing comfortably.

First of all, the inside of Shinreihoden is dark and the commentary is hard to read.

There are no ramps for the elderly, pregnant women or the disabled.

It is impossible to enter other buildings and worship inside.

The pamphlet also has no pictures of temples and Buddha statues.

Although it is only Reihoden that can be visited, the worship fee is expensive.

Even though it's a bad impression, the best thing is the staff's bad attitude and attitude.

I couldn't stand the arrogance and the heartlessness.

There is no homepage in the first place even if I want to find out various things about this temple and search.

If there are one or two of these bad conditions, it may be possible in any temple, but here there are many bad conditions.

",yes,Japanese,view review
西川美桜,2021-06-03 13:13:39,5,8," Right next to Randen Koryu-ji Temple. It's rattle no matter what time of year you go. However, there is Miroku Bosatsu, who is so famous that he appears in textbooks. I go to Kyoto once or twice a year, and I always go to worship. It goes without saying that those who like Buddhist statues, but also those who don't like it too much should see it at least once. The treasure hall is dark and hard to see, but I feel that my heart is purified. The cherry blossoms are also blooming a little, so you can take pictures as much as you want. I feel like this is the only place where you can take pictures of uninhabited temples lol

",yes,Japanese,view review
koji fukui,2021-08-02 01:23:33,4,2," It is the oldest temple in Kyoto and has the first National Treasure (Sculpture) statue of Maitreya Bodhisattva.
Photography, sketching, viewing through a telescope, etc. are all prohibited.
Maitreya bodhisattva has various episodes, and I watched it with expectations.
It's a very simple form and looks very natural. It's natural, but dignified.
If I wanted to, I would have liked to see it a little closer.

",yes,Japanese,view review
田中冬一郎（スナ）,2021-09-15 03:58:05,5,21," One of the Seven Great Temples of Japan built by Prince Shotoku. According to one theory, in the 11th year of Emperor Suiko (603) Kawakatsu Hata was built near Kita Ward, Kyoto City, with a Buddha statue given by Prince Shotoku as the principal image of worship.[Kyoto's oldest temple] ] (It is speculated that it was moved to its present location around the time of the transfer of the capital to Heian-kyo (794).)

In addition, although there is a fee, it is the first National Treasure designation at ""Shin Reihokan"", German existentialist philosopher Karl Jaspers said, ""The highest ideal of human existence that has been truly perfected, the eternal peace of our hearts. The statue of Miroku Bodhisattva (Miroku), which has been highly acclaimed as ""the most beautiful smile in the world on par with Mona Lisa's smile"" (1960). The index finger of the right hand has also been safely restored), and the beautiful and well-balanced proportions of the large Buddha statues facing each other, ""Standing Senju Kannon"", ""Fuku Kensaku Kannon"", and ""Seated Senju Kannon"". A 16-year-old statue of Prince Shotoku, a statue of Twelve Divine Generals, and many other national treasure-class Buddhist statues made in the Kamakura period can be viewed up close and in a sacred and quiet atmosphere that is ""because of the twilight."" It is also known as a temple to visit.

In October, along with the Kurama Fire Festival and the Imamiya Shrine Yasurai Festival, it is one of the three major festivals of Kyoto. followed by holding a torch, and the [Beef Festival] was held around the precincts and surroundings. Unfortunately, it seems to have been discontinued since 2003.

",yes,Japanese,view review
manafullマナブ,2021-10-16 22:53:32,5,1," The precincts of Kyoto have strong waves.

I was able to experience a high dimension with an admission fee of 900 yen ❣️

Maitreya Bodhisattva felt the wave more than words. Sitting on the tatami mats in front of you is extremely comfortable. A space to feel gratitude and gratitude.

It seems that the Buddha directly behind me was able to talk a lot, but it depends on my preparation. I also put a wave in my power stone bracelet.

Benzaiten is in the small precincts in front❣️

Definitely recommended if you like power spots

",yes,Japanese,view review
A Walking Contradiction,2021-10-24 10:41:37,5,0," The Reihoden, where Maitreya Bodhisattva is enshrined, is a solemn place with many national treasures and important cultural properties. The garden is also beautifully arranged.

",yes,Japanese,view review
Miwa I,2021-11-01 06:32:14,4,9," The first visit in the morning was reserved and I was able to take a leisurely tour.
Beautiful moss in the garden.
You can see Buddha statues such as Miroku Bodhisattva, but the lighting is quite dark and there are few exhibits.
Photography is prohibited inside.
The atmosphere of the clerk's eyes from above is a bit disappointing impression.

",yes,Japanese,view review
hideki jitsumori,2021-11-17 12:33:00,5,0," The scaffolding for the renovation work is a masterpiece. Σ(ﾟДﾟ)
Moss in the garden is beautiful.
The edges of the stone pavement and concrete cuts in the passage were too sharp and I took a picture.
The lighting in the building is dark, so I took a break on the bench until I got used to it. 😌

",yes,Japanese,view review
kaori miyazawa,2021-11-27 01:39:32,4,6," When I started researching Sarutahiko, the god of guidance, I came across the visitor Mr. Hata. In order to learn about various things, it became necessary to first walk around the Uzumasa Koryu-ji Temple area. Take the Arashiyama Electric Railway from Uzumasa Tenjingawa Station to Koryu-ji Temple. When you get off, the mountain gate is right in front of you. From this point, head west towards Isarai, and walk along the temple wall to the right along the temple gate. is a set of walks. It seems that these were separated from the precincts by Haibutsu Kishaku.
It is said that there is a statue of Prince Shotoku in the shrine in Taishiden, wearing the costume that successive emperors wore after their accession to the throne. Unfortunately, I came three days after the doors opened on November 22nd. But why? ···It's mysterious.
In Reihoden, there is a statue of a half-legged pensive that everyone knows. Located in the middle of a wide room, looking up. Unfortunately, the light is poor, and it's too far away, so I can't quite make out its expression. Therefore, I didn't feel much.
It took me half an hour to get my eyes adjusted to the darkness, and I watched it over and over again, but it just didn't work for me.
What caught my eye was the statue of Prince Shotoku sitting on a chair, which was good, and the Kawakatsu Hata and his wife, who were unskillful. 2 body. It's reminiscent of a seated figure, but it has no arms/legs... instead, a mirror is in front to hide its existence. Am I the only one who finds this unnatural?
I was glued to the statue of Kawakatsu. It's the first time I've seen a statue with such sharp eyes that widen my eyes...the eyes are stronger than the statue of Fudo Myoo.
It was the best to meet this statue here.
A temple full of ???
There were cherry blossoms in spring and autumn leaves in autumn, but I think Angle needs an explanation.

",yes,Japanese,view review
S健太郎,2021-11-30 00:45:29,4,1," I went on a weekday in November 2021. I went to Arashiyama in the morning and stopped by on the way home. Since it is not a spot for autumn leaves, there were almost no tourists and I was able to take a walk in the quiet grounds. It was difficult to see Miroku Bodhisattva because it was dark in the room, probably for protection, but since it is not through the glass, I thought that this kind of exhibition would be nice to think that we are in the same space.

",yes,Japanese,view review
神戸昴,2022-01-01 12:11:34,4,23," In front of Randen Uzumasa Koryuji Station. Built by Prince Shotoku during the reign of Emperor Suiko, it is one of the Seven Great Temples of Japan and is also called ""Uzumasa no Taishi-do."" It is also known as the clan temple of the Hata clan, who had power in this area. Unfortunately, as of December 2009, the Important Cultural Property Lecture Hall and National Treasure Katsuragi-in Temple are under renovation, but the museum has 20 national treasures from before the Nara period, 48 important cultural designated buildings, Buddhist statues, and works of art. increase. Although photography is prohibited, Buddhist statues can be viewed at the Shinreihoden Hall, and there are a number of national treasures and important cultural properties, such as the Miroku Bodhisattva statue, which was designated as Japan's No. 1 National Treasure. You can see the Buddha statue up close. In addition, the Prince Shotoku Gohitaki Festival, which is held on the anniversary of the death of Prince Shotoku on November 22nd, and the Uzumasa Beef Festival, which is currently suspended but is counted as one of the three major Kyoto festivals, are famous. You can get a goshuin at the visitor reception desk.

",yes,Japanese,view review
Black diamond,2022-02-03 02:15:46,5,0," The feeling of being wrapped in silence is perfect. The Miroku Bodhisattva half-legged pensive statue in the Hihokan is very beautiful. Be enchanted. I thought the entrance fee was a little high.

",yes,Japanese,view review
直人,2022-02-04 05:28:59,5,1," The National Treasure Maitreya Bodhisattva Statue, the Twelve Divine Generals Statue, and National Treasures. The entrance fee is 800 yen, but it is worth visiting.

",yes,Japanese,view review
Ant ManBee,2022-02-15 06:09:09,4,0,"Well worth visiting to see the 'slender-fingered' Buddha image. The grounds and buildings are also worthy of a visit, especially as a side excursion from the nearby movie studio theme park.


",yes,,view review
Joe Cool,2022-04-03 05:58:18,5,4," I went to see Miroku Bodhisattva for the first time in about 10 years.
Personally, I think it is the highest peak among Japanese Buddhist statues.
Calm expression, healed.
It's a pity that I can't tell you about the Reihoden because photography is prohibited.
Don't you think the Niomon gate at the entrance and the retro Randen car look good together? !

",yes,Japanese,view review
水野雅浩,2022-04-11 13:51:21,5,3," I stopped by in front of Toei Kyoto Studio Park. A place where you can truly feel the beauty of Japan that Japan has cherished. Photography is not allowed, but Miroku Bodhisattva made me feel calm. The dignified figure of Prince Shotoku is also impressive. If you come to Uzumasa, this is a temple that you should stop by.

",yes,Japanese,view review
London photo guide blog,2022-04-12 02:36:55,1,27," The entrance fee is 800 yen, which is quite expensive compared to others, but perhaps because of the deterioration prevention, the inside of the museum was quite dark and I was not able to see it very well.
And the staff in the hall have a lot of orders. In the corona vortex, the bus that came here was full, probably because it was going to Arashiyama, so my body and mind were worn out. I wanted you to rest for a while. I could not worship the Buddha statue with a calm heart, and at first it was dark and I could not see it. My family, who had said they wanted to see it, later complained, ""No matter how dark it is..."" Be careful if you are near-sighted or bird-eyed. I can't see it in the dark.
If you go to Byodo-in Temple, the entrance fee including the museum is 600 yen for adults, which is cheaper than here. It was dimly lit, but the lighting was perfect, and I was able to see a number of wonderful exhibits. At least if you could do it with that kind of brightness.

",yes,Japanese,view review
mksch00l,2022-07-20 20:38:09,4,1," A temple built by the Hata clan who brought sericulture and weaving techniques to Japan. It has existed since before the transfer of the capital to Heian, and boasts a long history in Kyoto. I still have the place name
The seated statue of Maitreya Bodhisattva, which is the first designated national treasure, is so famous that you can freely visit the grounds except for the Treasure Hall, but the auditorium, which is the oldest structure in the grounds, was closed to the public due to the typhoon in September 2018. It is no longer possible (December 2018)

Revisited, I tried to enter the treasure hall (800 yen) for the first time in 20 years
In the past, probably because there were many students on school excursions, the sound of the tape was played periodically.
The statue of Miroku Bodhisattva is still beautiful, and I think there is an incident where a Kyoto University student fell in love with it and accidentally touched it, breaking the bodhisattva's finger.
The statue is made of Japanese red pine from the Korean Peninsula, and it is unknown whether it was an imported Buddha or carved in Japan, but Koreans are proud that Japan's first national treasure was made on the Korean Peninsula. And
The auditorium is currently undergoing restoration work, perhaps due to the effects of a typhoon, while the seated statue of Amida Nyorai (a national treasure) remains in the hall, and is expected to be completed in a few years.
As far as I know, this Amida Nyorai is the only National Treasure Buddha that can be viewed freely in Kyoto.

",yes,Japanese,view review
